year,grid_ef_kgco2e_per_kwh
2020,0.23314
2021,0.21233
2022,0.19338
2023,0.19339
2024,0.14850
2025,0.13235
2026,0.11619
2027,0.10003
2028,0.08387
2029,0.06772
2030,0.05156
2031,0.04083
2032,0.03529
2033,0.03065
2034,0.02782
2035,0.02482
2036,0.02053
2037,0.01826
2038,0.01784
2039,0.01689
2040,0.01531
2041,0.01271
2042,0.01206
2043,0.01181
2044,0.01110
2045,0.00943
2046,0.00856
2047,0.00789
2048,0.00749
2049,0.00697
2050,0.00685
