source,"SBEM Technical Manual v7.0.c (13 Dec 2023), Table 28, p104 (from England 2025 NCM & BS EN 15241:2007)"
air_regulation_type,FARdc_FARmax_0.0,FARdc_FARmax_0.2,FARdc_FARmax_0.4,FARdc_FARmax_0.6,FARdc_FARmax_0.8,FARdc_FARmax_1.0
Damper control,0.0,0.525,0.65,0.80,1.0,1.0
Speed control,0.0,0.10,0.18,0.35,0.65,1.0
